cp,id_estado,id_municipio
21280,2,28
21285,2,28
21289,2,28
21290,2,28
21297,2,28
21298,2,28
21299,2,28
21300,2,28
21307,2,28
21309,2,28
21310,2,28
21320,2,28
21323,2,28
21324,2,28
21326,2,28
21327,2,28
21330,2,28
21337,2,28
21339,2,28
21340,2,28
21350,2,28
21353,2,28
21354,2,28
21355,2,28
21356,2,28
21360,2,28
21370,2,28
21376,2,28
21378,2,28
21379,2,28
21380,2,28
21383,2,28
21384,2,28
21385,2,28
21386,2,28
21387,2,28
21389,2,28
21390,2,28
21394,2,28
21395,2,28
21396,2,28
21397,2,28
21398,2,28
21399,2,28
21400,2,29
21410,2,29
21420,2,29
21430,2,29
21432,2,29
21433,2,29
21440,2,29
21442,2,29
21447,2,29
21448,2,29
21449,2,29
21450,2,29
21452,2,29
21453,2,29
21460,2,29
21462,2,29
21470,2,29
21472,2,29
21477,2,29
21478,2,29
21480,2,29
21482,2,29
21483,2,29
21484,2,29
21485,2,29
21490,2,29
21496,2,29
21500,2,29
21503,2,29
21505,2,29
21506,2,29
21507,2,29
21508,2,29
21510,2,29
21511,2,29
21514,2,29
21517,2,29
21519,2,29
21520,2,29
21530,2,29
21536,2,29
21550,2,29
21553,2,29
21570,2,29
21573,2,29
21600,2,28
21606,2,28
21607,2,28
21609,2,28
21610,2,28
21611,2,28
21613,2,28
21614,2,28
21615,2,28
21620,2,28
21627,2,28
21628,2,28
21700,2,28
21703,2,28
21704,2,28
21705,2,28
21706,2,28
21710,2,28
21713,2,28
21720,2,28
21722,2,28
21723,2,28
21725,2,28
21730,2,28
21731,2,28
21735,2,28
21738,2,28
21740,2,28
21742,2,28
21743,2,28
21800,2,28
21801,2,28
21802,2,28
21810,2,28
21813,2,28
21820,2,28
21821,2,28
21830,2,28
21831,2,28
21832,2,28
21833,2,28
21840,2,28
21841,2,28
21843,2,28
21850,2,30
21853,2,30
21854,2,30
21855,2,30
21900,2,28
21902,2,28
21904,2,28
21905,2,28
21910,2,28
21911,2,28
21912,2,28
21913,2,28
21920,2,28
21921,2,28
21925,2,28
21930,2,28
21950,2,28
21951,2,28
21960,2,28
21961,2,28
21963,2,28
21964,2,28
21965,2,28
21966,2,28
21970,2,28
21980,2,28
22000,2,31
22010,2,31
22014,2,31
22015,2,31
22020,2,31
22024,2,31
22025,2,31
22030,2,31
22034,2,31
22035,2,31
22040,2,31
22044,2,31
22045,2,31
22046,2,31
22050,2,31
22054,2,31
22055,2,31
22056,2,31
22100,2,31
22104,2,31
22105,2,31
22106,2,31
22110,2,31
22114,2,31
22115,2,31
22116,2,31
22117,2,31
22120,2,31
22123,2,31
22124,2,31
22125,2,31
22126,2,31
22127,2,31
22160,2,31
22163,2,31
22164,2,31
22165,2,31
22170,2,31
22180,2,31
22183,2,31
22185,2,31
22186,2,31
22190,2,31
22194,2,31
22195,2,31
22196,2,31
22200,2,31
22203,2,31
22204,2,31
22205,2,31
22206,2,31
22207,2,31
22210,2,31
22214,2,31
22215,2,31
22216,2,31
22217,2,31
22220,2,31
22223,2,31
22224,2,31
22225,2,31
22226,2,31
22230,2,31
22234,2,31
22235,2,31
22236,2,31
22237,2,31
22244,2,31
22245,2,31
22246,2,31
22250,2,31
22253,2,31
22254,2,31
22255,2,31
22260,2,31
22263,2,31
22330,2,31
22333,2,31
22334,2,31
22335,2,31
22400,2,31
22404,2,31
22405,2,31
22406,2,31
22410,2,31
22414,2,31
22415,2,31
22416,2,31
